,region,proj_x,proj_y,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
139,6,-2196405.4977891785,1797961.418737196,62.47076334254732,99.8,0.8,59.8,19.7,86958,12.5,16.027891877567242,0.4054,12.9,3.7690436355251657,2.122788761706551,75.21719846591354,19.9,7.5
140,13,1116739.7289154294,1142101.6039054503,26.72513652159523,111.0,22.0,3.3,10.5,46283,18.0,13.63894523326572,0.4662,7.6,3.631935455351064,0.9668960996394582,63.09585358287664,0.9,13.0
141,13,1363336.133631763,1097974.6544327172,32.11647524186246,99.4,14.4,7.1,33.1,72624,10.5,13.96541024741656,0.428,12.2,4.405953277224001,1.6729147141518297,83.63707622966882,4.4,10.6
142,13,1111378.4577905058,1205806.7318846076,28.03082191780822,114.2,29.0,3.2,12.2,43471,15.4,17.243669572436694,0.5216,14.2,4.856327334054599,0.7730863987766678,62.79206230662542,3.1,11.0
143,13,1360385.5137805168,975484.9620449002,34.31389439228185,106.8,18.8,6.7,23.9,56951,12.7,21.68097537149405,0.4535,8.4,4.353008673172668,1.984126984126988,60.30856968277407,4.5,12.2
144,13,1049954.094556867,977742.922607162,47.2378367900756,86.8,52.5,0.8,15.1,30640,19.0,13.97401086113266,0.4996,11.5,2.992181722463852,0.5398110661268496,67.59186864738076,1.3,16.8
145,13,1239684.4892738925,1027479.921269286,29.895950692557488,106.2,28.5,11.7,13.0,40859,13.7,17.482159875409682,0.4783,16.4,4.266478929480905,0.8216116734586443,49.30166239994816,6.6,18.6
146,13,1036440.0374731416,1204099.17498954,31.97685937314261,94.9,17.9,7.0,30.3,75913,13.5,14.332681837219043,0.419,13.2,5.77169396391006,1.4166851130874123,74.0202787362415,5.7,9.7
147,13,1046557.3880400454,1355869.0140481284,17.920664996027142,99.6,0.5,11.6,20.4,52625,24.1,11.981324390083516,0.4561,14.6,4.2547968138678245,0.9924357034795772,71.99494619439724,7.0,19.9
148,13,1124774.5629157869,1263271.5510692657,25.10094212651413,94.3,17.7,4.4,21.7,61599,15.2,14.56442335032042,0.4221,11.2,5.623355394051891,1.1175261767296218,76.17138001460964,4.8,11.7
149,13,1214987.455350409,1275495.705886878,43.34738109572547,94.0,42.6,5.1,13.8,37838,22.9,13.612352702153595,0.5082,16.3,3.035781434535004,0.9146947703320808,66.47719762062128,3.2,14.7
150,13,1200468.0437805464,1092139.078258131,27.09009233840779,111.0,28.7,3.5,14.3,39302,17.5,15.550434490373998,0.469,15.3,3.723734468748597,0.6939281288723675,48.92391633828433,1.6,10.5
151,13,1011155.9094234696,1330516.3839924457,18.42868552692421,98.0,3.8,15.8,14.7,45865,14.4,14.852627530505927,0.4646,30.7,5.074038989744877,1.0152706694961044,60.48167908194081,8.5,15.3
152,13,1050760.1915598186,1306043.3194973716,30.0559765699075,96.9,7.0,10.5,38.2,82740,13.4,13.789063289093589,0.4078,9.8,6.344542886632748,1.6909480080093853,82.98191735612953,8.8,10.8
153,13,1060307.289074804,1213719.584808526,46.5592745398989,94.1,22.7,7.2,46.2,90145,17.7,13.167056979777923,0.4369,8.2,6.339722631734604,1.355687358493185,88.35556755562646,10.2,7.2
154,13,1115419.3285399524,1036913.660208478,27.515846664654397,99.8,20.7,3.0,25.4,69280,12.5,14.321062978781097,0.397,9.9,4.400312583029149,0.8914682302261556,77.8771782685677,3.7,10.0
155,13,1048740.455874578,1330591.872783993,16.632115145412545,98.3,1.0,3.1,23.1,67631,21.4,12.823780546085956,0.4204,13.6,4.907663855626686,1.3612993690114594,69.4586478370262,2.3,10.6
156,13,1179487.6291070818,1247680.2040782054,36.64395840803154,96.8,35.2,6.0,26.9,52129,28.4,11.27442503890714,0.5604,9.9,3.754546155745756,0.8091046501289223,82.71677575935868,4.4,15.0
157,13,1191028.73618855,976475.3629529784,29.58758442304929,91.9,27.0,5.8,13.5,41854,15.9,14.472841590498922,0.4604,13.9,4.297551477301175,1.0803127221037598,56.506024096385545,2.5,18.0
158,13,1075706.5965208418,1331660.1386672433,15.650969529085874,99.3,1.1,4.7,30.6,66281,20.0,14.183240952070427,0.4338,12.9,4.742229215871128,1.225048193520306,83.42498443660511,3.7,12.1
159,13,1057722.117589377,1255750.9559486343,73.52541745115589,93.8,44.1,7.2,52.9,69673,11.4,18.947500482532327,0.5414,5.9,7.568995575623132,1.196014935415196,71.35664381316617,13.1,10.3
