,region,lon,lat,Y,X1,X2,X3,X4,X5,X6,X7,X8
1931,MI,-86.1520477255994,43.2912349359125,11.9,6.8,75.7,62.8,18.8,20.4,26.1,39.3,24.6
1933,TX,-96.6045764033046,28.5035343577971,9.0,24.4,71.8,56.1,18.7,13.7,27.2,38.3,30.0
1937,CA,-123.875674190259,40.6992051844633,11.7,6.6,67.1,57.9,20.2,17.3,21.7,36.4,26.7
1939,MN,-93.296716877709,44.3542411243463,9.7,7.8,67.5,66.3,21.3,14.7,20.8,32.1,22.6
1941,TN,-83.2660220942289,36.216642157807,11.4,16.5,74.2,55.6,16.3,20.9,29.8,40.7,27.1
1942,WA,-120.788868345248,45.8738600681984,12.1,8.2,64.0,59.2,18.5,14.3,20.8,33.3,27.4
1943,AZ,-111.344793224721,32.9045145361574,11.1,17.1,71.3,56.2,18.9,15.1,25.2,41.1,28.5
1945,SC,-81.1597045035657,34.6918859504696,11.0,13.1,78.3,55.1,16.5,19.8,28.1,39.4,27.4
1947,GA,-85.12835200624,33.2968801808711,11.1,14.7,72.8,54.6,17.1,19.9,28.3,37.7,30.2
1948,KS,-95.7936987430142,39.4167647961796,10.8,10.4,75.1,64.2,19.6,16.5,23.0,37.3,22.0
1949,KY,-82.8555345380638,37.1211282696762,11.7,9.6,77.3,53.1,13.5,21.2,28.3,43.8,23.9
1950,NC,-82.1631707071333,36.0134689001414,10.2,10.4,74.0,62.8,19.8,16.4,22.6,32.8,22.2
1951,TX,-102.723568115206,30.7808656738658,8.9,34.9,71.5,46.3,18.0,16.0,34.4,40.3,31.0
1953,NM,-106.86568903587,35.6887096281599,11.5,9.8,65.0,61.4,18.1,16.3,22.7,37.6,24.4
1954,KY,-84.1455599220577,36.7583673699124,11.9,7.7,77.0,52.9,13.9,22.0,27.9,43.0,22.4
1955,TX,-101.300045578323,33.6145591482594,10.0,31.8,71.3,45.7,17.3,19.3,35.4,40.5,30.6
1956,NE,-99.9124933288443,40.1764626253683,9.7,11.6,70.8,59.9,20.3,18.2,25.9,31.9,22.6
1957,KS,-95.2923657307524,38.8846878796519,10.6,8.8,75.7,62.6,19.1,16.6,21.1,34.7,19.6
1959,GA,-84.250830281123,32.5556469053066,12.3,24.2,75.4,44.6,13.8,23.7,35.8,41.4,33.8
1962,TX,-97.6002801376072,30.6477494421496,8.9,13.8,72.7,64.3,19.5,10.7,19.1,32.9,25.8
1963,KS,-101.784271567578,37.5630485558189,10.7,21.1,73.5,55.4,17.3,17.4,31.2,36.7,25.2
1964,OH,-84.542601023044,39.1955454321754,12.0,7.8,77.7,59.6,22.2,18.4,26.5,39.7,24.8
1966,MD,-76.569090863985,38.5440599982732,10.6,8.2,75.5,70.7,18.2,10.7,18.1,36.9,24.6
1969,MN,-93.5872866696323,44.0221059926322,10.3,6.6,69.8,64.8,22.4,15.9,21.4,29.8,23.3
